"","date","value"
"1",2018-01-12,"2.1"
"2",2018-01-13,"1.5"
"3",2018-01-14,"0.2"
"4",2018-01-15,"0.9"
"5",2018-01-16,"3.8"
"6",2018-01-17,"3.4"
"7",2018-01-18,"1.9"
"8",2018-01-19,"1.2"
"9",2018-01-20,"1.3"
"10",2018-01-21,"1.0"
"11",2018-01-22,"0.7"
"12",2018-01-23,"1.8"
"13",2018-01-24,"9.1"
"14",2018-01-25,"7.5"
"15",2018-01-26,"5.8"
"16",2018-01-27,"5.2"
"17",2018-01-28,"7.4"
"18",2018-01-29,"7.2"
"19",2018-01-30,"5.6"
"20",2018-01-31,"5.3"
"21",2018-02-01,"5.3"
"22",2018-02-02,"4.1"
"23",2018-02-03,"-2.3"
"24",2018-02-04,"-2.1"
"25",2018-02-05,"-2.3"
"26",2018-02-06,"-0.8"
"27",2018-02-07,"1.6"
"28",2018-02-08,"3.1"
"29",2018-02-09,"1.7"
"30",2018-02-10,"1.0"
"31",2018-02-11,"1.3"
"32",2018-02-12,"2.8"
"33",2018-02-13,"3.2"
"34",2018-02-14,"4.5"
"35",2018-02-15,"2.8"
"36",2018-02-16,"3.4"
"37",2018-02-17,"2.2"
"38",2018-02-18,"3.3"
"39",2018-02-19,"2.2"
"40",2018-02-20,"1.8"
"41",2018-02-21,"0.7"
"42",2018-02-22,"-0.2"
"43",2018-02-23,"0.7"
"44",2018-02-24,"0.5"
"45",2018-02-25,"-3.0"
"46",2018-02-26,"-2.1"
"47",2018-02-27,"-4.8"
"48",2018-02-28,"-6.6"
"49",2018-03-01,"-4.6"
"50",2018-03-02,"-3.1"
"51",2018-03-03,"-0.7"
"52",2018-03-04,"0.3"
"53",2018-03-05,"0.3"
"54",2018-03-06,"2.1"
"55",2018-03-07,"4.6"
"56",2018-03-08,"2.2"
"57",2018-03-09,"0.2"
"58",2018-03-10,"2.9"
"59",2018-03-11,"2.4"
"60",2018-03-12,"6.1"
"61",2018-03-13,"4.6"
"62",2018-03-14,"4.0"
"63",2018-03-15,"1.4"
"64",2018-03-16,"-0.1"
"65",2018-03-17,"0.3"
"66",2018-03-18,"2.8"
"67",2018-03-19,"3.3"
"68",2018-03-20,"6.0"
"69",2018-03-21,"5.4"
"70",2018-03-22,"3.6"
"71",2018-03-23,"2.2"
"72",2018-03-24,"3.2"
"73",2018-03-25,"7.8"
"74",2018-03-26,"5.8"
"75",2018-03-27,"1.5"
"76",2018-03-28,"3.4"
"77",2018-03-29,"5.2"
"78",2018-03-30,"6.1"
"79",2018-03-31,"7.7"
"80",2018-04-01,"6.7"
"81",2018-04-02,"6.5"
"82",2018-04-03,"4.3"
"83",2018-04-04,"9.9"
"84",2018-04-05,"9.3"
"85",2018-04-06,"7.8"
"86",2018-04-07,"14.0"
"87",2018-04-08,"18.3"
"88",2018-04-09,"13.6"
"89",2018-04-10,"11.1"
"90",2018-04-11,"13.9"
"91",2018-04-12,"16.0"
"92",2018-04-13,"20.4"
"93",2018-04-14,"20.6"
"94",2018-04-15,"17.5"
"95",2018-04-16,"12.6"
"96",2018-04-17,"10.9"
"97",2018-04-18,"15.5"
"98",2018-04-19,"15.5"
"99",2018-04-20,"23.2"
"100",2018-04-21,"14.5"
"101",2018-04-22,"13.1"
"102",2018-04-23,"13.5"
"103",2018-04-24,"10.0"
"104",2018-04-25,"11.4"
"105",2018-04-26,"10.5"
"106",2018-04-27,"12.0"
"107",2018-04-28,"12.9"
"108",2018-04-29,"14.2"
"109",2018-04-30,"13.6"
"110",2018-05-01,"13.3"
"111",2018-05-02,"14.1"
"112",2018-05-03,"12.4"
"113",2018-05-04,"13.0"
"114",2018-05-05,"16.0"
"115",2018-05-06,"19.1"
"116",2018-05-07,"22.4"
"117",2018-05-08,"25.1"
"118",2018-05-09,"26.6"
"119",2018-05-10,"28.8"
"120",2018-05-11,"23.2"
"121",2018-05-12,"20.2"
"122",2018-05-13,"26.4"
"123",2018-05-14,"28.8"
"124",2018-05-15,"28.1"
"125",2018-05-16,"26.7"
"126",2018-05-17,"21.4"
"127",2018-05-18,"21.8"
"128",2018-05-19,"22.3"
"129",2018-05-20,"22.7"
"130",2018-05-21,"22.8"
